,year,fips,county_name,state_name,contract_rent,housing_value,median_age_by_sex,population,diff_year,diff_growth,rate_percent,rent_price_ratio,GDPDEF,diff_housing_growth,growth_rate_housing,mean_rent_price_ratio,mean_housing_value,mean_contract_rent,mean_rent_pct_change,mean_housing_growth
1,2009,01003,Baldwin County,Alabama,18154,172500,40.3,179878,NA,NA,NA,0.105240579710145,95.02275,NA,NA,0.111367404674244,183254.545454545,20172.5454545455,-1.33492330946412,2.40077674402608
2,2009,01015,Calhoun County,Alabama,13629,99500,38.6,114081,NA,NA,NA,0.136974874371859,95.02275,NA,NA,0.130099673242556,108581.818181818,13994.1818181818,-0.50525842511294,1.77303880267944
3,2009,01055,Etowah County,Alabama,10566,101900,39.2,103645,NA,NA,NA,0.10368989205103,95.02275,NA,NA,0.106146953993886,106218.181818182,11115.4545454545,-0.392234171610049,1.83470732106733
4,2009,01069,Houston County,Alabama,12508,120100,38.8,100085,NA,NA,NA,0.104146544546211,95.02275,NA,NA,0.106487434369394,128609.090909091,13612.3636363636,0.765983123727511,2.33566629771822
5,2009,01073,Jefferson County,Alabama,94500,139900,37,665027,NA,NA,NA,0.675482487491065,95.02275,NA,NA,0.645213768702141,150400,96743.2727272727,0.795080193134271,1.88741851332124
6,2009,01081,Lee County,Alabama,21843,137400,27.1,135883,NA,NA,NA,0.158973799126638,95.02275,NA,NA,0.142174846390592,159545.454545455,22504.5454545455,-0.701343892205457,2.54907577583488
7,2009,01089,Madison County,Alabama,38597,160800,36.7,327744,NA,NA,NA,0.240031094527363,95.02275,NA,NA,0.260839934547859,174018.181818182,45475.4545454545,2.77818855952852,1.81391443340917
8,2009,01095,Marshall County,Alabama,9373,99800,37.3,90399,NA,NA,NA,0.0939178356713427,95.02275,NA,NA,0.084942861966607,118700,10007.9090909091,0.0886502377386404,2.73204681354047
9,2009,01097,Mobile County,Alabama,56257,122100,35.4,411721,NA,NA,NA,0.460745290745291,95.02275,NA,NA,0.431063432470817,126618.181818182,54541.3636363636,-0.208692896313496,1.23211373282312
10,2009,01101,Montgomery County,Alabama,32761,122900,34.1,224119,NA,NA,NA,0.266566314076485,95.02275,NA,NA,0.289406535357844,125600,36317,1.00846657694392,0.807629624776613
11,2009,01117,Shelby County,Alabama,15892,195300,36.2,192503,NA,NA,NA,0.0813722478238607,95.02275,NA,NA,0.0794133534089144,200145.454545455,15824.1818181818,-0.570834266056193,1.56156809021611
12,2009,01121,Talladega County,Alabama,8668,90000,38.5,80242,NA,NA,NA,0.0963111111111111,95.02275,NA,NA,0.0987024392693239,94500,9323.85714285714,-1.40709732027774,1.97482728657598
13,2009,01125,Tuscaloosa County,Alabama,25449,148000,30.8,184035,NA,NA,NA,0.171952702702703,95.02275,NA,NA,0.16085792942502,161081.818181818,25890.1818181818,0.510117133874711,1.88847343988106
14,2009,02020,Anchorage Municipality,Alaska,39859,267300,32.3,286174,NA,NA,NA,0.149117096894875,95.02275,NA,NA,0.139766655287197,298181.818181818,41512.0909090909,0.00259442743748929,1.57180052753385
15,2009,02090,Fairbanks North Star Borough,Alaska,11115,213300,28.8,98660,NA,NA,NA,0.0521097046413502,95.02275,NA,NA,0.0645229179635341,218342.857142857,14059.2857142857,5.18645813807079,0.931154333710851
16,2009,02170,Matanuska-Susitna Borough,Alaska,3899,219800,34.1,88379,NA,NA,NA,0.0177388535031847,95.02275,NA,NA,0.030005712227564,233381.818181818,6987.54545454545,5.44329461380272,1.69233418522543
17,2009,04003,Cochise County,Arizona,14539,155000,41.4,129518,NA,NA,NA,0.0938,95.02275,NA,NA,0.1070723740825,145563.636363636,15520.2727272727,0.669669419917282,-0.463394970860543
18,2009,04005,Coconino County,Arizona,18484,242900,29,129849,NA,NA,NA,0.076097159324825,95.02275,NA,NA,0.0762964444022216,246809.090909091,18433.0909090909,-0.0898946979894682,2.29433525387425
19,2009,04013,Maricopa County,Arizona,469759,203800,33.6,4023132,NA,NA,NA,2.305,95.02275,NA,NA,2.68036066682122,217590.909090909,564884.909090909,2.22673293443389,3.23583189197432
20,2009,04015,Mohave County,Arizona,20609,158600,45.9,194825,NA,NA,NA,0.129943253467844,95.02275,NA,NA,0.181961835962036,145827.272727273,25760.7272727273,1.79510710595285,1.05228538096997
21,2009,04017,Navajo County,Arizona,9813,144000,34.2,112975,NA,NA,NA,0.0681458333333333,95.02275,NA,NA,0.0890388498694017,118972.727272727,10336.7272727273,0.154299034316503,-1.32863269171735
22,2009,04019,Pima County,Arizona,125905,188500,37.2,1020200,NA,NA,NA,0.667931034482759,95.02275,NA,NA,0.854418194539567,174800,147686.181818182,1.78914817400892,0.985102422697792
23,2009,04021,Pinal County,Arizona,25612,137800,34.9,340962,NA,NA,NA,0.185863570391872,95.02275,NA,NA,0.226319496116852,152081.818181818,32997.0909090909,1.65463927307787,3.76950229267291
24,2009,04025,Yavapai County,Arizona,23057,217300,48.9,215686,NA,NA,NA,0.106106764841233,95.02275,NA,NA,0.132287915708048,215627.272727273,27611.7272727273,2.04458695394973,2.36339760735403
25,2009,04027,Yuma County,Arizona,22511,133800,35.2,196972,NA,NA,NA,0.168243647234679,95.02275,NA,NA,0.187128990572135,123781.818181818,23008.2727272727,0.615548837609244,0.179946277304528
26,2009,05007,Benton County,Arkansas,22877,153400,34.4,225504,NA,NA,NA,0.149132985658409,95.02275,NA,NA,0.177322240265878,165072.727272727,29159.1818181818,3.24846989603915,2.83184179415749
